Date,Weekly_East_Coast
"Apr 09, 2004",
"Apr 16, 2004",
"Apr 23, 2004",
"Apr 30, 2004",
"May 07, 2004",3413
"May 14, 2004",2933
"May 21, 2004",3293
"May 28, 2004",3346
"Jun 04, 2004",3565
"Jun 11, 2004",3127
"Jun 18, 2004",3668
"Jun 25, 2004",3343
"Jul 02, 2004",2973
"Jul 09, 2004",3292
"Jul 16, 2004",2834
"Jul 23, 2004",4144
"Jul 30, 2004",3307
"Aug 06, 2004",2916
"Aug 13, 2004",3048
"Aug 20, 2004",3112
"Aug 27, 2004",2957
"Sep 03, 2004",3338
"Sep 10, 2004",3283
"Sep 17, 2004",3035
"Sep 24, 2004",3467
"Oct 01, 2004",2933
"Oct 08, 2004",3036
"Oct 15, 2004",3504
"Oct 22, 2004",3616
"Oct 29, 2004",3436
"Nov 05, 2004",2973
"Nov 12, 2004",2875
"Nov 19, 2004",3445
"Nov 26, 2004",3111
"Dec 03, 2004",3231
"Dec 10, 2004",2981
"Dec 17, 2004",3316
"Dec 24, 2004",3056
"Dec 31, 2004",3442
"Jan 07, 2005",2915
"Jan 14, 2005",2954
"Jan 21, 2005",3484
"Jan 28, 2005",3475
"Feb 04, 2005",3815
"Feb 11, 2005",3925
"Feb 18, 2005",3634
"Feb 25, 2005",3922
"Mar 04, 2005",3390
"Mar 11, 2005",3247
"Mar 18, 2005",3411
"Mar 25, 2005",3095
"Apr 01, 2005",2930
"Apr 08, 2005",2365
"Apr 15, 2005",2975
"Apr 22, 2005",3536
"Apr 29, 2005",2983
"May 06, 2005",3458
"May 13, 2005",3291
"May 20, 2005",3063
"May 27, 2005",3559
"Jun 03, 2005",2806
"Jun 10, 2005",3591
"Jun 17, 2005",3458
"Jun 24, 2005",3069
"Jul 01, 2005",3745
"Jul 08, 2005",3237
"Jul 15, 2005",3078
"Jul 22, 2005",3075
"Jul 29, 2005",3585
"Aug 05, 2005",3385
"Aug 12, 2005",3229
"Aug 19, 2005",3627
"Aug 26, 2005",3238
"Sep 02, 2005",3705
"Sep 09, 2005",3346
"Sep 16, 2005",2973
"Sep 23, 2005",3518
"Sep 30, 2005",4300
"Oct 07, 2005",4190
"Oct 14, 2005",3552
