Date,Connecticut,Delaware,Florida,Georgia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Virginia,Total,Per_day
2020-03-21,4.0,0.0,13.0,20.0,0.0,2.0,1.0,0.0,16.0,195.0,0.0,0.0,3.0,3.0,257.0,58.0
2020-03-22,8.0,0.0,13.0,25.0,0.0,3.0,5.0,0.0,20.0,286.0,0.0,0.0,3.0,6.0,369.0,112.0
2020-03-23,10.0,0.0,18.0,25.0,0.0,3.0,9.0,1.0,27.0,387.0,0.0,0.0,5.0,6.0,491.0,122.0
2020-03-24,12.0,0.0,18.0,32.0,0.0,4.0,11.0,1.0,44.0,512.0,0.0,0.0,5.0,9.0,648.0,157.0
2020-03-25,19.0,0.0,23.0,40.0,0.0,4.0,15.0,1.0,62.0,659.0,2.0,0.0,7.0,9.0,841.0,193.0
2020-03-26,21.0,1.0,29.0,48.0,0.0,4.0,25.0,1.0,81.0,902.0,3.0,0.0,9.0,10.0,1134.0,293.0
2020-03-27,27.0,2.0,35.0,64.0,1.0,5.0,35.0,1.0,108.0,1211.0,4.0,0.0,13.0,10.0,1516.0,382.0
2020-03-28,33.0,5.0,54.0,69.0,1.0,5.0,44.0,2.0,140.0,1588.0,5.0,2.0,15.0,13.0,1976.0,460.0
2020-03-29,34.0,6.0,56.0,80.0,3.0,10.0,48.0,2.0,161.0,2016.0,7.0,3.0,16.0,20.0,2462.0,486.0
2020-03-30,36.0,6.0,63.0,87.0,3.0,15.0,56.0,3.0,198.0,2556.0,7.0,4.0,18.0,15.0,3067.0,605.0
2020-03-31,69.0,10.0,85.0,111.0,5.0,18.0,89.0,3.0,267.0,3207.0,12.0,8.0,22.0,27.0,3933.0,866.0
2020-04-01,85.0,11.0,87.0,139.0,5.0,31.0,122.0,3.0,355.0,3917.0,14.0,10.0,26.0,34.0,4839.0,906.0
2020-04-02,112.0,12.0,164.0,163.0,7.0,36.0,154.0,3.0,537.0,4730.0,21.0,12.0,31.0,41.0,6023.0,1184.0
2020-04-03,131.0,14.0,170.0,184.0,9.0,43.0,192.0,5.0,646.0,5418.0,27.0,14.0,34.0,46.0,6933.0,910.0
2020-04-04,165.0,14.0,195.0,201.0,10.0,54.0,216.0,7.0,846.0,5991.0,34.0,17.0,40.0,52.0,7842.0,909.0
2020-04-05,189.0,14.0,221.0,211.0,10.0,67.0,231.0,9.0,917.0,6785.0,38.0,25.0,44.0,52.0,8813.0,971.0
2020-04-06,206.0,15.0,236.0,229.0,10.0,91.0,260.0,9.0,1003.0,7809.0,45.0,27.0,48.0,66.0,10054.0,1241.0
2020-04-07,277.0,16.0,283.0,329.0,12.0,103.0,356.0,9.0,1232.0,8886.0,53.0,30.0,51.0,66.0,11703.0,1649.0
2020-04-08,326.0,19.0,309.0,362.0,14.0,124.0,433.0,13.0,1504.0,9834.0,66.0,35.0,51.0,66.0,13156.0,1453.0
2020-04-09,380.0,23.0,354.0,379.0,16.0,138.0,503.0,21.0,1709.0,10778.0,76.0,43.0,67.0,109.0,14596.0,1440.0
2020-04-10,448.0,32.0,390.0,416.0,17.0,171.0,599.0,21.0,1932.0,11605.0,83.0,43.0,72.0,121.0,15950.0,1354.0
2020-04-11,494.0,33.0,438.0,429.0,19.0,206.0,686.0,22.0,2183.0,12498.0,89.0,56.0,80.0,130.0,17363.0,1413.0
2020-04-12,554.0,35.0,461.0,433.0,19.0,236.0,756.0,23.0,2350.0,13442.0,89.0,63.0,82.0,141.0,18684.0,1321.0
2020-04-13,602.0,41.0,499.0,465.0,19.0,262.0,844.0,23.0,2443.0,14390.0,94.0,63.0,82.0,149.0,19976.0,1292.0
2020-04-14,671.0,43.0,571.0,525.0,20.0,302.0,844.0,25.0,2805.0,15261.0,112.0,80.0,97.0,154.0,21510.0,1534.0
2020-04-15,868.0,46.0,596.0,552.0,24.0,311.0,1108.0,32.0,3156.0,16013.0,130.0,80.0,106.0,195.0,23217.0,1707.0
2020-04-16,971.0,55.0,668.0,587.0,27.0,319.0,1108.0,32.0,3518.0,16729.0,150.0,87.0,111.0,208.0,24570.0,1353.0
2020-04-17,1036.0,61.0,725.0,650.0,29.0,334.0,1245.0,37.0,3840.0,17755.0,177.0,118.0,116.0,231.0,26354.0,1784.0
