Date,Weekly_West_Coast
"Apr 09, 2004",
"Apr 16, 2004",
"Apr 23, 2004",
"Apr 30, 2004",
"May 07, 2004",899
"May 14, 2004",889
"May 21, 2004",1468
"May 28, 2004",1210
"Jun 04, 2004",1412
"Jun 11, 2004",1150
"Jun 18, 2004",699
"Jun 25, 2004",1639
"Jul 02, 2004",1131
"Jul 09, 2004",989
"Jul 16, 2004",1352
"Jul 23, 2004",1386
"Jul 30, 2004",1463
"Aug 06, 2004",1210
"Aug 13, 2004",1719
"Aug 20, 2004",1435
"Aug 27, 2004",1207
"Sep 03, 2004",1350
"Sep 10, 2004",1378
"Sep 17, 2004",1396
"Sep 24, 2004",1032
"Oct 01, 2004",986
"Oct 08, 2004",1340
"Oct 15, 2004",1132
"Oct 22, 2004",1455
"Oct 29, 2004",946
"Nov 05, 2004",1105
"Nov 12, 2004",1466
"Nov 19, 2004",1462
"Nov 26, 2004",699
"Dec 03, 2004",1425
"Dec 10, 2004",1185
"Dec 17, 2004",1062
"Dec 24, 2004",748
"Dec 31, 2004",1111
"Jan 07, 2005",1232
"Jan 14, 2005",822
"Jan 21, 2005",898
"Jan 28, 2005",1057
"Feb 04, 2005",913
"Feb 11, 2005",1119
"Feb 18, 2005",1064
"Feb 25, 2005",1119
"Mar 04, 2005",1029
"Mar 11, 2005",1436
"Mar 18, 2005",1289
"Mar 25, 2005",1074
"Apr 01, 2005",1308
"Apr 08, 2005",1106
"Apr 15, 2005",991
"Apr 22, 2005",1272
"Apr 29, 2005",1423
"May 06, 2005",1117
"May 13, 2005",1248
"May 20, 2005",1418
"May 27, 2005",1538
"Jun 03, 2005",1170
"Jun 10, 2005",1240
"Jun 17, 2005",1403
"Jun 24, 2005",1251
"Jul 01, 2005",1150
"Jul 08, 2005",1240
"Jul 15, 2005",1275
"Jul 22, 2005",1130
"Jul 29, 2005",1570
"Aug 05, 2005",1246
"Aug 12, 2005",1170
"Aug 19, 2005",1367
"Aug 26, 2005",1712
"Sep 02, 2005",1559
"Sep 09, 2005",1374
"Sep 16, 2005",1206
"Sep 23, 2005",1503
"Sep 30, 2005",1611
"Oct 07, 2005",1181
"Oct 14, 2005",1461
"Oct 21, 2005",1692
